iter	Passed	Remaining
0	4	415
1	8	414
2	12	419
3	16	407
4	21	404
5	25	397
6	29	394
7	33	388
8	37	383
9	42	379
10	46	380
11	51	377
12	55	373
13	60	373
14	65	368
15	69	363
16	73	357
17	78	355
18	82	350
19	86	345
20	91	342
21	95	337
22	99	331
23	103	326
24	107	322
25	111	316
26	115	312
27	119	307
28	123	303
29	128	298
30	132	294
31	136	290
32	141	286
33	145	282
34	149	278
35	154	275
36	158	270
37	162	265
38	166	261
39	170	256
40	175	252
41	179	248
42	185	245
43	190	242
44	195	239
45	200	235
46	205	231
47	209	226
48	213	222
49	218	218
50	223	214
51	228	210
52	232	206
53	237	202
54	241	197
55	246	193
56	251	189
57	255	184
58	260	180
59	264	176
60	268	171
61	272	167
62	277	163
63	282	158
64	287	154
65	291	150
66	295	145
67	299	141
68	304	136
69	308	132
70	312	127
71	317	123
72	321	118
73	325	114
74	329	109
75	334	105
76	338	101
77	342	96
78	347	92
79	351	87
80	355	83
81	359	78
82	363	74
83	367	70
84	371	65
85	376	61
86	380	56
87	385	52
88	390	48
89	394	43
90	398	39
91	403	35
92	407	30
93	411	26
94	416	21
95	421	17
96	426	13
97	431	8
98	435	4
99	441	0
