time,open,high,low,close,volume,weekday,hour,weekofyear,quarter,weekofquarter,mid,xau_ratio,eur,eur_ratio
2016-03-11 06:00:00+00:00,4.189,4.2,4.187,4.2,11727,4,6,10,1,10,4.188,0.9893189546081468,1.11762,1.0124951423701678
2016-03-11 10:00:00+00:00,4.2,4.204,4.193,4.193,9435,4,10,10,1,10,4.193,0.9961699122084934,1.11109,1.01690134380507
2016-03-11 14:00:00+00:00,4.193,4.2,4.192,4.2,9860,4,14,10,1,10,4.194,0.9943699504673545,1.11244,1.0174795769736174
2016-03-11 18:00:00+00:00,4.2,4.201,4.189,4.189,10452,4,18,10,1,10,4.2,0.9987840546994095,1.11564,1.0120717734405813
2016-03-11 22:00:00+00:00,4.189,4.202,4.189,4.201,8285,4,22,10,1,10,4.19,1.0093233500698862,1.11488,1.0158310671981283
2016-03-12 02:00:00+00:00,4.201,4.201,4.12,4.144,6089,5,2,10,1,10,4.164,0.9956829409819717,1.11488,1.002232397759743
2016-03-12 06:00:00+00:00,4.144,4.156,4.117,4.126,4700,5,6,10,1,10,4.155,0.9914371975094691,1.11488,0.9980821975501633
2016-03-12 10:00:00+00:00,4.126,4.126,4.126,4.126,3291,5,10,10,1,10,4.126,0.9915258167676044,1.11488,0.9982897414008836
2016-03-12 14:00:00+00:00,4.126,4.126,4.059,4.108,5637,5,14,10,1,10,4.096,0.987274441748467,1.11488,0.9941583435512015
2016-03-12 18:00:00+00:00,4.107,4.142,4.071,4.098,5792,5,18,10,1,10,4.097,0.9848077414706282,1.11488,0.991972493264535
2016-03-12 22:00:00+00:00,4.098,4.099,4.095,4.096,9860,5,22,10,1,10,4.096,0.9841955599716543,1.11488,0.9917231533688381
2016-03-13 02:00:00+00:00,4.096,4.096,4.093,4.094,10437,6,2,10,1,10,4.093,0.9835934583610935,1.11488,0.9914699705148471
2016-03-13 06:00:00+00:00,4.094,4.095,4.094,4.095,3797,6,6,10,1,10,4.095,0.9837286167403576,1.11488,0.9918928649754892
2016-03-13 09:00:00+00:00,4.095,4.127,4.095,4.127,5737,6,9,10,1,10,4.106,0.991236370383026,1.11488,0.999807981743205
2016-03-13 13:00:00+00:00,4.127,4.127,4.107,4.114,3998,6,13,10,1,10,4.119,0.9879707586216123,1.11488,0.9968213763796222
2016-03-13 17:00:00+00:00,4.114,4.116,4.113,4.114,6087,6,17,10,1,10,4.114,0.9878338888105455,1.11488,0.9969848267390121
2016-03-13 21:00:00+00:00,4.114,4.114,4.112,4.113,8005,6,21,10,1,10,4.114,0.9874695268361452,1.11488,0.9969034576809654
2016-03-14 01:00:00+00:00,4.113,4.131,4.11,4.131,6276,0,1,11,1,11,4.113,0.9881917598506437,1.11523,1.001083056621446
2016-03-14 05:00:00+00:00,4.131,4.131,4.121,4.127,5214,0,5,11,1,11,4.131,0.98677907591669,1.11634,0.9992762916218423
2016-03-14 09:00:00+00:00,4.127,4.133,4.114,4.133,5424,0,9,11,1,11,4.123,0.9870639791934606,1.11154,1.005188681858616
